case_id,distance,angle_deg,orientation_deg,final_std,final_flux_max,final_node_max,final_distance,anisotropy_ratio,major_axis_angle_deg,dipole_amplitude,dipole_angle_deg,interaction_score
214,66,0,180,0.7806330666564503,5.029192471750496,21.75790889791536,48.26157681057381,1.0851745031196265,-154.22050153586576,10.977663182913986,153.25772321389115,0.6012793675069442
11,18,60,45,0.7577556482792793,5.149799387499509,25.833200148643932,42.79869955759719,1.0267150220386407,56.60059791430926,10.924231869227711,-153.89542232158607,0.5993640132313344
147,50,30,90,0.7902133556694245,5.16208372629947,24.528356828710805,67.90024382272682,1.2759675516051032,142.26129266495596,11.125945664103144,-167.6745881036443,0.5984825566889175
120,42,90,0,0.7719041085567362,4.8413084858015,24.100574003922755,47.171090540142096,1.0674958256534537,112.15049168790361,15.5851645116349,-130.535030533502,0.5978924601260164
53,26,90,135,0.7626465203285011,5.277034114771252,20.217155386994875,30.589035158028352,1.1411113122146423,-155.05039062380615,6.5513608716823,-95.14861520909383,0.5969081108260599
170,50,180,0,0.7529840799049472,4.8334916750932795,21.74251412783316,41.70337828217972,1.0872344239180873,-135.02937196057445,8.785121995538313,43.52380388549497,0.5925795903919859
5,18,30,0,0.7606491807036939,4.830628431353783,26.311696971785512,51.05677008423367,1.093618210290664,69.01087098211148,13.207547762854619,178.68762738509483,0.5915252547241636
161,50,120,45,0.7740418775411037,5.044050608375227,24.979872779564356,31.268929496382572,1.13512121377729,55.54777373294784,6.578487602399298,-116.51853303744502,0.5914630254907076
89,34,90,180,0.7684625448404063,5.021684800331855,23.92039772786158,50.15385949924952,1.0836510964858084,79.63072464554186,10.943969484867972,-110.47759595842331,0.5910562507466566
10,18,60,0,0.7637898555212597,5.3242320441462825,17.975183970754063,46.84310597078532,1.0472406444686975,97.08320070974712,11.197206621470269,-168.9461963310388,0.5894047923804221
259,74,60,180,0.7929865319010482,5.040089416397397,21.174434196583825,61.57081381488211,1.1938055311923397,49.674302423252094,10.021681143207097,-157.93655724162448,0.5890486965217593
26,18,150,45,0.7458957530766189,4.797515616477431,23.732577870685947,50.48887867012524,1.1278378945424423,86.855932020769,9.344049400947949,-143.58609766123186,0.5885162829537731
113,42,30,135,0.789382686962998,4.7304703517710704,22.652180377311478,44.641210026802824,1.017055168980768,175.62009594744475,12.65755603704241,-131.45835971862778,0.5853215343563699
126,42,120,45,0.7655906630685886,5.073140561991832,22.166097111068254,36.52935383286525,1.1179355242562559,-137.39332724162765,7.395508996279607,-100.15233014037096,0.5851638078335879
34,18,180,180,0.748187484395085,5.053803421736935,23.649834345211733,23.332660840099322,1.2963891487771195,55.268598499773674,2.896116884429022,-33.75158986980084,0.5828953611430789
69,26,180,180,0.7588640725363195,5.034607517296662,23.762329522979993,26.1541888175066,1.0381116580676768,91.98300172712419,6.951907120495108,19.663944259257715,0.5816016341636342
64,26,150,180,0.7638781232051839,5.135372520168238,22.310026512778414,44.057030237882685,1.360381142407563,48.83262737327114,4.866779468946074,-33.63497368031211,0.5802427014274806
85,34,90,0,0.7614809291782638,5.0789527315628655,22.610210357444604,52.326533987608705,1.0807984551251721,127.83462808395066,13.84742590239102,-126.60147120721729,0.5787665576245425
94,34,120,180,0.784597932583647,4.773166454027706,22.571116475876906,48.27427578115116,1.1280183465695963,48.68998642107903,8.746436316264306,-43.7111328182799,0.578763065448293
18,18,90,135,0.7664355389262624,4.867615361431405,22.95461864416852,48.781502931716666,1.043352282749584,-145.47739745617073,12.487119018957975,-91.61844893131477,0.5777686267162087
28,18,150,135,0.7600452719773423,5.16319074669361,24.20146416343923,58.00919989128456,1.1388337442620486,-146.8618997985111,9.953499931304686,-52.629888885306286,0.5777433702702656
187,58,60,90,0.7675597462808463,5.612848971610801,23.3665690205888,62.44745419353575,1.1796609858124718,47.25367259988116,14.812442212916666,-144.70207359578674,0.5775932219385571
227,66,90,90,0.7792033223336237,5.309257127480588,22.279024581087043,20.629936050240758,1.1216746742100983,-147.69127292975293,4.808638199588865,-135.40173115504192,0.5759899938394556
233,66,120,135,0.8048667021423574,5.0152000573395945,21.826580527969927,29.086492860757886,1.1370778701810513,130.71246288568165,5.6909170876229584,-99.69095168900783,0.5722885688535397
123,42,90,135,0.7843085900480745,5.324812253752393,20.786961187749004,25.937696018319823,1.1622563428356183,49.31162654969168,4.806616536021867,-115.2542474995189,0.5696712700869754
146,50,30,45,0.8020507815988517,5.052140253087165,21.93004540245557,48.72859616088072,1.1682456282299465,60.11840330879724,7.9695716245891015,-175.98339723445474,0.5694148401711882
220,66,60,0,0.810329956999767,4.976708003590428,22.358654702103415,51.62755987864831,1.0427788881091096,62.39237711350761,13.63432022022183,-167.60323807449518,0.5632516446613132
156,50,90,45,0.7918946356613106,5.076392929954085,24.185199076372356,52.808962812141814,1.0688731129075832,100.38770554460666,9.79452035932187,-154.99496934787518,0.5631999549693479
263,74,90,135,0.8062404009193908,4.979262556710585,23.153596781282936,48.27152858764823,1.0439131506406114,53.9244623017306,9.45615977618202,-73.21125367232798,0.5615645245484353
144,50,0,180,0.776074208592182,5.091498864988034,27.58611007464623,60.53044436205292,1.1273006733667092,-135.36441101691204,22.444246708918385,-175.99831290549108,0.56099811487309
213,66,0,135,0.7964387670792399,5.238314442716341,22.89517307074733,57.51992945517059,1.0970460159913584,-158.48301809276902,11.973918824181423,-170.74734129138687,0.5609233607198263
171,50,180,45,0.7658346696326096,5.287995791935523,20.344887104022998,58.200636623339264,1.100383150434105,52.40088543920778,10.66494997704108,-17.962019378046044,0.5591883921003562
189,58,60,180,0.7786416131621491,5.1917809236207075,22.610452725988367,41.4123694881403,1.1781031870985021,53.282555452279404,6.483814103708233,-163.8465041664849,0.5589232397383377
127,42,120,90,0.7445380199043382,5.079343780076201,23.208764160126616,37.07925116610076,1.1356879990626385,49.644935984340286,6.440245108677105,-101.32747554502961,0.5578563225045141
51,26,90,45,0.7562804700822469,5.126752635209156,18.453413236063245,58.28865572436109,1.144905148726609,-151.3215793137948,9.334045250603321,-136.75328843353304,0.5577008795126153
230,66,120,0,0.7747659681237162,5.2565024714590525,23.822390819782346,20.90607446632742,1.1665747129866186,-143.79709788253464,3.644825821425482,5.397422085389559,0.556325887911564
235,66,150,0,0.7795131746977008,4.916647609046831,23.272568656925863,15.15763014861604,1.1236255844404148,52.291577650568016,3.4324069540259274,-178.77806547106925,0.5561588848680347
216,66,30,45,0.8136105651914536,5.246203455522779,22.760011826871285,68.37415485190508,1.1912038880188522,47.08688403574925,14.26768136476655,-177.35219986980076,0.5537311697499008
219,66,30,180,0.7963848198906622,5.29669888117761,24.14705802845373,61.94779237056022,1.1355463227949678,54.855323000083835,9.857165285553087,175.33804221133937,0.5530349845390408
